query_id,pearson,spearman,ndcg_at_0_5_pct,ndcg_at_1pct,ndcg_at_5pct,ndcg_at_top_200,enrichment_at_0_5pct,enrichment_at_1pct,enrichment_at_5pct,enrichment_at_top_200,recall_at_0_5pct,recall_at_1pct,recall_at_5pct,recall_at_top_200
33,0.16959853897903446,0.1893282071563887,0.3434567912241228,0.3572090534571781,0.42501310854901914,0.34486827836106226,0.11630836368833944,0.12291343606926622,0.13887398894801803,0.12908700143531027,0.027538726333907058,0.04991394148020654,0.10965742812876571,0.02
34,0.1797085010348401,0.1724215760194762,0.4797503476890209,0.5006669316999526,0.4924995102766962,0.48536684227972127,0.2692785861056138,0.2895878986207655,0.18705102656711098,0.28732247957736856,0.09982788296041308,0.1738382099827883,0.2306368330464716,0.055
35,-0.03108044967729539,-0.026915368175482197,0.3315597595433959,0.34459058638737666,0.39770608498668625,0.3031130037731997,0.08009237664734817,0.07928376926178184,0.06786992248759773,0.05383382040258363,0.01549053356282272,0.0189328743545611,0.0783132530120482,0.0
36,0.14168162380338786,0.15097387292943742,0.36897689014865126,0.3773408518667727,0.4303756222606416,0.38430472837793445,0.11170586543450715,0.1125389516565003,0.1199205847680216,0.1504164699177888,0.024096385542168676,0.04130808950086059,0.10309810671256454,0.015
37,0.2799004900600773,0.20065022135998822,0.24594771117234568,0.2763368835700425,0.5019173636982408,0.24220583628683715,0.12594614250366584,0.16335551361170808,0.39943133623364013,0.11393752784278238,0.06060606060606061,0.09343434343434344,0.3014910285569876,0.06
38,0.03758812464928314,0.02986468999363943,0.22290668467293204,0.22360453552215936,0.2768080813147445,0.23721268255896102,0.10354590750702651,0.09186376353679507,0.07817581098558013,0.12617017942100145,0.017676767676767676,0.03409090909090909,0.096790497851908,0.015
39,0.176020373047039,0.09937293024173065,0.2634006035314945,0.2860368030923706,0.379254681805628,0.26257106324460466,0.16081960902654888,0.18118438818113694,0.22053873505781885,0.16594622694452238,0.030303030303030304,0.06060606060606061,0.20849128127369218,0.025
40,0.3219244772380573,0.2258442657986034,0.23686232915108527,0.297622994738312,0.4648686464416523,0.21968419821550716,0.1215828228831767,0.19219783568482235,0.3407243322341181,0.10671974920728727,0.02056555269922879,0.11696658097686376,0.29879146310105426,0.0
41,0.027823243517323237,0.027057480381976463,0.22278881826865915,0.2310582905255565,0.2959598291589783,0.2202123385973534,0.09946845375396139,0.09790742358092226,0.10311408376980541,0.10197294660411238,0.007712082262210797,0.032133676092544985,0.11211108254049884,0.005
42,0.23700368493285845,0.16516372151912206,0.35223718988135033,0.3480030981876413,0.4200334245131138,0.3576367572951939,0.25880581932442825,0.23828307724207246,0.26455119951009654,0.2757383233264037,0.05912596401028278,0.10282776349614396,0.24402159938287477,0.045
43,0.34780976646340217,0.21877534168453983,0.587957687933743,0.5793854304006586,0.6013570088586357,0.582598196472904,0.5730876510257829,0.5397951791129569,0.4913664103344573,0.5851317643704671,0.12280701754385964,0.19978046103183314,0.41928398857895893,0.065
44,0.04111042556726894,0.02955654061278467,0.22631919241314868,0.24157974670484939,0.30268775012393234,0.24263973982573786,0.09791422890763442,0.10867854603038937,0.1141283437610073,0.13520733300730103,0.013157894736842105,0.04061470911086718,0.12738853503184713,0.02
45,0.2468674696315205,0.16493164622172748,0.3463114119073202,0.3555608338829928,0.4206321214749818,0.3533751930627109,0.23743898189904805,0.24475164837077945,0.2645330770367403,0.24818331041897315,0.05701754385964912,0.09440175631174534,0.2545574346584669,0.04
46,0.23589050595039826,0.17126239301289248,0.3612371322273657,0.40844900642438636,0.5557487820142202,0.40268940249349816,0.203222263616119,0.2797493677201648,0.41148148454893746,0.24227511239852204,0.017391304347826087,0.10326086956521739,0.3943478260869565,0.0
47,-0.00422172144949496,-0.00963025534934422,0.2506929713576793,0.25851987660105824,0.3144952021686647,0.26684707102622124,0.09520579141163771,0.0953131777950472,0.08093783495689141,0.12675627048521995,0.02391304347826087,0.042391304347826085,0.09608695652173913,0.025
48,0.1870833363210137,0.1362887301071175,0.32635282567344964,0.3148697146721054,0.38874970161458156,0.3374256686680738,0.18692725068937602,0.15510560680281474,0.17693502466514716,0.21192830413145922,0.05652173913043478,0.0891304347826087,0.19543478260869565,0.03
49,0.13175748381640315,0.10784618770596797,0.7204346429305943,0.7396821631360603,0.8057339547528619,0.722092585434499,0.578532032958751,0.5967394304797576,0.6311835911917838,0.5705542577494801,0.04225352112676056,0.14840989399293286,0.5457122608079377,0.075
50,0.019958316110692226,0.0310367683097546,0.5295995301612507,0.5122438319749282,0.5504427263837669,0.5183457859555425,0.1651343732264602,0.12897897136542252,0.10924593435248282,0.1414314008290226,0.02112676056338028,0.04240282685512368,0.11693834160170093,0.045
51,0.13804337952425266,0.116757074907367,0.5138936154104403,0.5102124000548341,0.5626847021819639,0.5080806147363707,0.13871426562886718,0.12726430257728713,0.13473279007980712,0.12668046656306028,0.028169014084507043,0.0636042402826855,0.16725726435152374,0.04
52,0.1383408538584402,0.14771930840075434,0.8235547022985408,0.8431841982085755,0.8459252389685837,0.8383160103430399,0.7202307345416097,0.743536443897922,0.6761806552592998,0.7410096294718707,0.15503875968992248,0.23255813953488372,0.5151280062063616,0.215
